"Time (UTCG)","Electron dose (rads)","Proton dose (rads)","Combined dose (rads)"
1 Jan 2020 00:00:00.000,0.000e+00,0.000e+00,0.000e+00
1 Jan 2020 00:01:00.000,0.000e+00,0.000e+00,0.000e+00
1 Jan 2020 00:02:00.000,0.000e+00,0.000e+00,0.000e+00
1 Jan 2020 00:03:00.000,0.000e+00,0.000e+00,0.000e+00
1 Jan 2020 00:04:00.000,0.000e+00,0.000e+00,0.000e+00
1 Jan 2020 00:05:00.000,0.000e+00,0.000e+00,0.000e+00
1 Jan 2020 00:06:00.000,0.000e+00,0.000e+00,0.000e+00
1 Jan 2020 00:07:00.000,0.000e+00,0.000e+00,0.000e+00
1 Jan 2020 00:08:00.000,0.000e+00,0.000e+00,0.000e+00
1 Jan 2020 00:09:00.000,0.000e+00,0.000e+00,0.000e+00
1 Jan 2020 00:10:00.000,0.000e+00,0.000e+00,0.000e+00
1 Jan 2020 00:11:00.000,0.000e+00,0.000e+00,0.000e+00
1 Jan 2020 00:12:00.000,0.000e+00,0.000e+00,0.000e+00
1 Jan 2020 00:13:00.000,0.000e+00,0.000e+00,0.000e+00
1 Jan 2020 00:14:00.000,0.000e+00,1.494e-05,1.494e-05
1 Jan 2020 00:15:00.000,0.000e+00,4.704e-05,4.704e-05
1 Jan 2020 00:16:00.000,0.000e+00,6.760e-05,6.761e-05
1 Jan 2020 00:17:00.000,5.728e-12,6.760e-05,6.761e-05
1 Jan 2020 00:18:00.000,1.101e-11,6.760e-05,6.762e-05
1 Jan 2020 00:19:00.000,1.593e-11,6.760e-05,6.762e-05
1 Jan 2020 00:20:00.000,2.029e-11,6.760e-05,6.762e-05
1 Jan 2020 00:21:00.000,2.029e-11,6.760e-05,6.762e-05
1 Jan 2020 00:22:00.000,2.029e-11,6.760e-05,6.763e-05
1 Jan 2020 00:23:00.000,2.029e-11,6.760e-05,6.763e-05
1 Jan 2020 00:24:00.000,2.029e-11,6.760e-05,6.763e-05
1 Jan 2020 00:25:00.000,2.029e-11,6.760e-05,6.763e-05
1 Jan 2020 00:26:00.000,2.029e-11,6.760e-05,6.763e-05
1 Jan 2020 00:27:00.000,2.029e-11,6.760e-05,6.763e-05
