"Time (UTCG)","Electron dose (rads)","Proton dose (rads)","Combined dose (rads)"
1 Jan 2020 00:00:00.000,0.000e+00,0.000e+00,0.000e+00
1 Jan 2020 00:01:00.000,3.462e-06,4.353e-02,4.375e-02
1 Jan 2020 00:02:00.000,6.989e-06,8.599e-02,8.645e-02
1 Jan 2020 00:03:00.000,1.058e-05,1.276e-01,1.283e-01
1 Jan 2020 00:04:00.000,1.423e-05,1.690e-01,1.699e-01
1 Jan 2020 00:05:00.000,1.794e-05,2.100e-01,2.112e-01
1 Jan 2020 00:06:00.000,2.173e-05,2.511e-01,2.525e-01
1 Jan 2020 00:07:00.000,2.559e-05,2.923e-01,2.941e-01
1 Jan 2020 00:08:00.000,2.951e-05,3.342e-01,3.362e-01
1 Jan 2020 00:09:00.000,3.351e-05,3.771e-01,3.793e-01
1 Jan 2020 00:10:00.000,3.757e-05,4.212e-01,4.238e-01
1 Jan 2020 00:11:00.000,4.169e-05,4.671e-01,4.699e-01
1 Jan 2020 00:12:00.000,4.587e-05,5.146e-01,5.177e-01
1 Jan 2020 00:13:00.000,5.008e-05,5.647e-01,5.681e-01
1 Jan 2020 00:14:00.000,5.431e-05,6.177e-01,6.214e-01
1 Jan 2020 00:15:00.000,5.857e-05,6.744e-01,6.783e-01
1 Jan 2020 00:16:00.000,6.283e-05,7.349e-01,7.391e-01
1 Jan 2020 00:17:00.000,6.711e-05,7.990e-01,8.035e-01
1 Jan 2020 00:18:00.000,7.134e-05,8.665e-01,8.713e-01
1 Jan 2020 00:19:00.000,7.540e-05,9.341e-01,9.392e-01
1 Jan 2020 00:20:00.000,7.932e-05,1.002e+00,1.008e+00
1 Jan 2020 00:21:00.000,8.313e-05,1.071e+00,1.076e+00
1 Jan 2020 00:22:00.000,8.683e-05,1.139e+00,1.145e+00
1 Jan 2020 00:23:00.000,9.044e-05,1.208e+00,1.214e+00
1 Jan 2020 00:24:00.000,9.399e-05,1.277e+00,1.283e+00
1 Jan 2020 00:25:00.000,9.748e-05,1.345e+00,1.352e+00
1 Jan 2020 00:26:00.000,1.009e-04,1.414e+00,1.420e+00
1 Jan 2020 00:27:00.000,1.043e-04,1.481e+00,1.488e+00
1 Jan 2020 00:28:00.000,1.077e-04,1.548e+00,1.555e+00
1 Jan 2020 00:29:00.000,1.110e-04,1.614e+00,1.621e+00
1 Jan 2020 00:30:00.000,1.142e-04,1.679e+00,1.686e+00
1 Jan 2020 00:31:00.000,1.175e-04,1.743e+00,1.750e+00
1 Jan 2020 00:32:00.000,1.206e-04,1.805e+00,1.813e+00
1 Jan 2020 00:33:00.000,1.237e-04,1.866e+00,1.874e+00
1 Jan 2020 00:34:00.000,1.268e-04,1.925e+00,1.933e+00
1 Jan 2020 00:35:00.000,1.298e-04,1.983e+00,1.991e+00
1 Jan 2020 00:36:00.000,1.327e-04,2.040e+00,2.048e+00
1 Jan 2020 00:37:00.000,1.356e-04,2.095e+00,2.103e+00
1 Jan 2020 00:38:00.000,1.384e-04,2.148e+00,2.156e+00
1 Jan 2020 00:39:00.000,1.411e-04,2.200e+00,2.208e+00
1 Jan 2020 00:40:00.000,1.438e-04,2.250e+00,2.259e+00
1 Jan 2020 00:41:00.000,1.463e-04,2.300e+00,2.309e+00
1 Jan 2020 00:42:00.000,1.487e-04,2.347e+00,2.356e+00
1 Jan 2020 00:43:00.000,1.510e-04,2.393e+00,2.403e+00
1 Jan 2020 00:44:00.000,1.532e-04,2.439e+00,2.448e+00
1 Jan 2020 00:45:00.000,1.553e-04,2.482e+00,2.492e+00
1 Jan 2020 00:46:00.000,1.573e-04,2.525e+00,2.534e+00
1 Jan 2020 00:47:00.000,1.592e-04,2.566e+00,2.576e+00
1 Jan 2020 00:48:00.000,1.610e-04,2.606e+00,2.616e+00
1 Jan 2020 00:49:00.000,1.627e-04,2.645e+00,2.654e+00
1 Jan 2020 00:50:00.000,1.627e-04,2.682e+00,2.692e+00
1 Jan 2020 00:51:00.000,1.627e-04,2.718e+00,2.728e+00
1 Jan 2020 00:52:00.000,1.627e-04,2.753e+00,2.763e+00
1 Jan 2020 00:53:00.000,1.627e-04,2.786e+00,2.796e+00
1 Jan 2020 00:54:00.000,1.627e-04,2.819e+00,2.829e+00
1 Jan 2020 00:55:00.000,1.628e-04,2.849e+00,2.859e+00
1 Jan 2020 00:56:00.000,1.628e-04,2.879e+00,2.889e+00
1 Jan 2020 00:57:00.000,1.628e-04,2.907e+00,2.917e+00
1 Jan 2020 00:58:00.000,1.628e-04,2.933e+00,2.943e+00
1 Jan 2020 00:59:00.000,1.628e-04,2.956e+00,2.967e+00
1 Jan 2020 01:00:00.000,1.628e-04,2.978e+00,2.988e+00
1 Jan 2020 01:01:00.000,1.628e-04,2.999e+00,3.009e+00
1 Jan 2020 01:02:00.000,1.628e-04,3.018e+00,3.028e+00
1 Jan 2020 01:03:00.000,1.628e-04,3.035e+00,3.045e+00
1 Jan 2020 01:04:00.000,1.628e-04,3.051e+00,3.062e+00
1 Jan 2020 01:05:00.000,1.628e-04,3.067e+00,3.077e+00
1 Jan 2020 01:06:00.000,1.628e-04,3.081e+00,3.091e+00
1 Jan 2020 01:07:00.000,1.628e-04,3.095e+00,3.105e+00
1 Jan 2020 01:08:00.000,1.628e-04,3.108e+00,3.118e+00
1 Jan 2020 01:09:00.000,1.628e-04,3.120e+00,3.131e+00
1 Jan 2020 01:10:00.000,1.628e-04,3.132e+00,3.143e+00
1 Jan 2020 01:11:00.000,1.628e-04,3.144e+00,3.154e+00
1 Jan 2020 01:12:00.000,1.628e-04,3.155e+00,3.166e+00
1 Jan 2020 01:13:00.000,1.628e-04,3.166e+00,3.177e+00
1 Jan 2020 01:14:00.000,1.628e-04,3.177e+00,3.188e+00
1 Jan 2020 01:15:00.000,1.629e-04,3.188e+00,3.199e+00
1 Jan 2020 01:16:00.000,1.629e-04,3.199e+00,3.210e+00
1 Jan 2020 01:17:00.000,1.629e-04,3.211e+00,3.221e+00
1 Jan 2020 01:18:00.000,1.629e-04,3.222e+00,3.232e+00
1 Jan 2020 01:19:00.000,1.629e-04,3.233e+00,3.244e+00
1 Jan 2020 01:20:00.000,1.629e-04,3.245e+00,3.256e+00
1 Jan 2020 01:21:00.000,1.629e-04,3.257e+00,3.268e+00
1 Jan 2020 01:22:00.000,1.629e-04,3.270e+00,3.281e+00
1 Jan 2020 01:23:00.000,1.629e-04,3.284e+00,3.294e+00
1 Jan 2020 01:24:00.000,1.629e-04,3.297e+00,3.308e+00
1 Jan 2020 01:25:00.000,1.629e-04,3.312e+00,3.322e+00
1 Jan 2020 01:26:00.000,1.629e-04,3.327e+00,3.338e+00
1 Jan 2020 01:27:00.000,1.629e-04,3.343e+00,3.354e+00
1 Jan 2020 01:28:00.000,1.629e-04,3.360e+00,3.370e+00
1 Jan 2020 01:29:00.000,1.629e-04,3.377e+00,3.388e+00
